//---------------------------------------------------------------------------------------
// Description: 用于LCD,103,PRINT等进程配置内部描述
// Parameter:   1. 关键字
//              2. 中文描述
//              3. 英文描述
// Version:     R2.12
// 说明：描述之后紧跟分隔符',', 描述中可以有空格
//---------------------------------------------------------------------------------------
// LCD菜单显示
    QUICK_MENU,              快捷菜单,             QuickMenu,
    SAVE_COPY_OK,            拷贝定值成功!,        Settings Copied!,
    SAVE_COPY_FAIL,          拷贝定值失败!,        Failed to Copy Settings!,
    COPY_TO_SETNO,           拷贝至区号:,          Copy to Group:,

// 在线定值
    COPY_FROM_SETNO,         从该区号拷贝:,        Copy from Group:,
    INIT_ONLINE_SETTING,     初始预备定值,         Init Standby Settings,
    RUN_ONLINE_SETTING,      投入预备定值,         Apply Standby Settings,

// 功能键确认
    CONFIRM_KEY,             按<确定>确认,         Press <ENT> to Confirm,

// LCD清报告
    CLEAR_YES,               按<确定>清除,         Press <ENT> to Clear,
    CANCEL_NO,               按<取消>放弃,         Press <ESC> to Exit,

// LCD手动录波
    RECORD_YES,              按<确定>开始,         Press <ENT> to Start,
    RECORDING,               正在录波...,          Recording Waveform...,

// LCD手动切换
    SWITCH_INFO,             确认键起动切换或取消键退出, <ENT>: Init TS; <ESC>: Cancel TS,

// LCD信号复归
    SIG_RSTING,              信号复归...,          Resetting Signal...,

// LCD清统计信息
    CLR_STATING,             清除统计信息...,      Clearing Statistic Data...,

// LCD下载请求
    DOWNLOAD_INFO,           下载请求已发出可以下载..., Please Download...,

// LCD密码提示
    PASSWORD_HINT,           请输入口令:,          Password:,

// LCD显示报告
    NO_VALID_RPT,            暂无报文!,            No Record!,

// LCD显示录波波形
    WAVE_AMP,                光标值,               CursorVal,
    WAVE_TIME,               时刻,                 CursorTime,
    WAVE_SCALE,              时标,                 Scale,
    WAVE_MODE,               波形显示模式,         Wave Display Mode,
    XY_MODE,                 XY坐标图,             XY Coordinates,
    POLAR_MODE,              极坐标图,             Polar Coordinates,
    SEL_POLAR,               选择极坐标图,         Select Polar Coordinates,

// LCD打印菜单之定值相关
    ALL_SETTING,             全部定值,             All Settings,
    ONLINE_SETTING,          运行预备区,           Standby Group Settings,
    RECENT_MODIFY,           最近修改定值,         Latest Chgd Settings,

// LCD打印提示信息
    PRINTER_BUSY,            打印机忙...,          Printer Busy...,
    PRINTER_OFFLINE,         打印机不存在,         No Printer,
    PRINTER_START,           正在打印...,          Printing...,
    PRINT_NOW,               开始打印...,          Start Printing...,
    PRINT_CANCEL,            正在取消打印...,      Cancelling Print...,
    SEL_PRINT_START,         报文打印起始序号,     Record Start No.,
    SEL_PRINT_END,           报文打印结束序号,     Record End No.,
    SEL_PRINT_RANGE,         报文序号打印范围,     Record No. Range,
    SEL_PRINT_SETNO,         打印定值区号:,        Print Setting Group:,
    NO_WAVE_FORM,            波形数据不存在!,      No Waveform Data!,

// LCD打印波形分组的可选项
    BOX_TRIP,                动作报告,             Disturb Records,
    BOX_SELF,                相关自检,             Superv Events,
    BOX_BINCHG,              相关变位,             IO Events,
    BOX_WAVE,                波形,                 Waveforms,
    BOX_SETTING,             定值,                 Settings,

// LCD语言选择
    SEL_LANGUAGE,            请选择语言种类:,      Please Select Language:,
    CHINESE_LANGUAGE,        中文,                 Chinese,
    ENGLISH_LANGUAGE,        英文,                 English,
    RUSSION_LANGUAGE,        俄文,                 Russian,
    FRENCH_LANGUAGE,         法文,                 French,
    SPANISH_LANGUAGE,        西班牙文,             Spanish,
    CHANGE_LANGUAGE,         正在切换语言类型...,  Language Switching...,

// LCD修改时间
    MDY_YEAR,                年:,                  Year:,
    MDY_MONTH,               月:,                  Month:,
    MDY_DAY,                 日:,                  Day:,
    MDY_HOUR,                时:,                  Hour:,
    MDY_MINUTE,              分:,                  Minute:,
    MDY_SECOND,              秒:,                  Second:,
    MDY_FORMAT,              格式:,                Format:,

// LCD背光时间
    MINUTE,                  分,                   min,

// LCD程序版本
    CARD_POS,                插件位置,             Position,
    CARD_TYPE,               插件类型,             Type,
    CARD_DESC,               插件描述,             Description,
    CARD_CONFIG,             插件配置,             Configuration,
    OPTIONAL_TYPE,           可选插件,             Optional,
    STANDARD_TYPE,           标准插件,             Standard,
    HAVE_CONFIG,             已配置,               Configured,
    NOT_CONFIG,              未配置,               Unconfigured,
    CARD_STATUS,             插件状态,             State,
    CARD_ALIVE,              正常,                 Normal,
    CARD_NOT_ALIVE,          不正常,               Abnormal,
    CARD_EXIST,              存在,                 Exist,
    CARD_NOT_EXIST,          不存在,               Not Exist,
    CONFIG_YES,              配置?,                Config?,
    CONFIG_NOT,              不配置?,              Not Config?,
    PROG_VERSION,            版本号,               Ver,
    BH_PROG_VERSION,         保护程序版本,         Protection Ver,
    CK_PROG_VERSION,         测控程序版本,         BCU Ver,
    IO_PROG_VERSION,         I/O程序版本,          I/O Ver,
    PROG_TIME,               程序形成时间,         Program Time,
    PROG_CHKSUM,             程序校验码,           Program CRC,
    PROG_MANAGE,             管理序号,             SUBQ,
    PROG_DEVELOP,            二次开发单号,         Project,
    CODING_TYPE,             软件类型码,           Software Type,
    AREA_CODE,               地区码,               Area Code,
    FACTORY,                 南京合智电力科技有限公司, HZ,
    MANUFACTURER,            生产厂家,             Manufacturer,
    HMI_VERSION,             管理程序版本,         MON Ver,
    HMI_TIME,                管理程序时间,         MON Time,
    HMI_CRC,                 管理程序校验码,       MON CRC,
    MAIN_VERSION,            保护程序主版本,       Protection Main Ver,
    SUB_VERSION,             保护程序内部版本,     Protection Fac Ver,
    CK_MAIN_VERSION,         测控程序主版本,       BCU Main Ver,
    CK_SUB_VERSION,          测控程序内部版本,     BCU Fac Ver,
    CFG_VERSION,             配置文件版本,         Config Ver,
    CFG_TIME,                配置文件时间,         Config Time,
    DEVICE_CID_VER,          装置CID版本,          Device CID Ver,
    DEVICE_CID_CRC,          过程层配置CRC,        Proc Level CRC,
    STATION_CID_CRC,         全站CID配置CRC,       Subst CID CRC,
    IEC61850,                IEC61850,             IEC61850,

// LCD电子盘备份和恢复,限长47字符
    CHECK_PROG_CFG,          校验程序和配置,               Check Program and Config,
    CHECK_PROG_CFG_ING,      请稍等! 正在校验程序和配置,   Please Wait! Checking Program and Config...,
    CHECK_PROG_CFG_HINT1,    校验电子盘备份的程序和配置,   Confirm Program and Config Backuped in MDisk ,
    CHECK_PROG_CFG_HINT2,    是否与装置一致,               are Consistent with those of Device,
    BACKUP_PROG_CFG,         备份程序和配置,               Backup Program and Config,
    BACKUP_PROG_CFG_ING,     请稍等! 正在备份程序和配置,   Please Wait! Backuping Program and Config...,
    BACKUP_PROG_CFG_HINT1,   将装置正在运行的程序和配置,   Backup Active Program and Config ,
    BACKUP_PROG_CFG_HINT2,   备份到电子盘,                 of Device to MDisk,
    RESTORE_PROG_CFG,        恢复程序和配置,               Restore Program and Config,
    RESTORE_PROG_CFG_ING,    请稍等! 正在恢复程序和配置,   Please Wait! Restoring Program and Config...,
    RESTORE_PROG_CFG_HINT1,  将选中插件的程序和配置,       Restore Program and Config of Selected ,
    RESTORE_PROG_CFG_HINT2,  恢复到最后一次备份的状态,     Module(s) to the Latest Backup,
    RESTORE_FACTORY,         恢复出厂状态,                 Restore to Defaults,
    RESTORE_FACTORY_ING,     请稍等! 正在恢复出厂状态,     Please Wait! Restoring to Defaults...,
    RESTORE_FACTORY_HINT1,   将所有插件的程序和配置,       Restore Program and Config of ,
    RESTORE_FACTORY_HINT2,   恢复到出厂状态,               All Modules to Defaults,
    REFRESH_FIRMWARE,        升级固件程序,                 Update Program,
    REFRESH_FIRMWARE_ING,    请稍等! 正在升级固件程序,     Please Wait! Updating Program...,
    REFRESH_FIRMWARE_HINT,   升级程序(保留配置),           Only Update Program(Config Remains Unchanged),
    SELECT_CARD_HINT1,       请选择需要恢复的插件(可多选), Please Select Module(s) to be Restored,
    SELECT_CARD_HINT2,       该操作能将选中插件的程序和,   to ,
    SELECT_CARD_HINT3,       配置恢复到最后一次备份的状态, the Latest Backuped Program and Config,
    SELECTED_CARD,           已选中板卡,                   Selected Module(s),
    START_RECOVER,           开始恢复,                     Start Restore,
    CHECK_PROG,              程序校验,                     Program Check,
    CHECK_CFGS,              配置校验,                     Config Check,
    CHECK_SETTING,           定值校验,                     Settings Check,
    CHECK_SAME,              一致,                         Consistent,
    CHECK_NOT_SAME,          不一致,                       Inconsistent,
    BACKUP_PROG,             程序备份,                     Program Backup,
    BACKUP_CFGS,             配置备份,                     Config Backup,
    BACKUP_SETTING,          定值备份,                     Settings Backup,
    BACKUP_OK,               成功,                         OK,
    BACKUP_FAIL,             失败,                         Failed,
    FIRMWARE_INVALID,        固件无效,                     Firmware Invalid,
    FIRMWARE_VER_INVALID,    固件版本不兼容,               Firmware Version Incompatible,

// LCD修改板卡设置
    CARD_CONFIG_OK,          板卡设置成功开始重启...,      Board Config OK! Rebooting...,

// LCD通信传动
    ALL_TEST,                全部传动,             All Test,
    TRIP_TEST,               跳闸传动,             Disturb Event Test,
    SELF_TEST,               报警传动,             Superv Event Test,
    BINCHG_TEST,             变位传动,             IO Event Test,
    OVERTIME_EXIT,           通信传动超时退出...,  Communication Test Timeout and Exiting...,
    ENTER_COMM_TEST,         正在进入通信传动...,  Entering Communication Test...,
    EXIT_COMM_TEST,          正在退出通信传动...,  Communication Test Exiting...,

// LCD出口传动
    EXPORT_NOW,              出口传动中...,        BO Testing...,
    EXIT_EXPORT_TEST,        正在退出出口传动...,  BO Test Exiting...,
    ENTER_EXPORT_TEST,       正在进入出口传动...,  Entering BO Test...,
    EXPORT_OVERTIME,         出口传动超时退出...,  BO Test Timeout and Exiting...,

// LCD跳闸传动
    GOOSE_NOW,               GOOSE传动中...,       GOOSE Testing...,
    EXIT_GOOSE_TEST,         正在退出GOOSE传动..., GOOSE Test Exiting...,
    ENTER_GOOSE_TEST,        正在进入GOOSE传动..., Entering GOOSE Test...,
    GOOSE_OVERTIME,          GOOSE传动超时退出..., GOOSE Test Timeout and Exiting...,
    EXAMINE_STATUS_EN,       请投检修压板,         Please Energize BI_Maintenance,

// LCD遥测置数
    TELEMETER_NOW,           正在遥测置数...,      Forcing Measurement...,
    TELEMETER_EXIT,          退出遥测置数...,      Force Measurement Exiting...,
    TELEMETER_ALL,           遥测全置数,           All Force Measurement,
    ENTER_TELEMETER,         正在进入遥测置数...,  Entering Force Measurement...,
    TELEMETER_OVERTIME,      遥测置数超时退出...,  Force Measurement Timeout and Exiting...,

// LCD精度自动校准
    AUTO_ADJUST_OK,          精度自动校准 成功!,   Auto Calbr OK!,
    AUTO_ADJUST_FAIL,        精度自动校准 失败!,   Auto Calbr Failed!,

// LCD零漂自动校准
    ZERO_ADJUST_OK,          零漂自动校准 成功!,   ZeroDrift Calbr OK!,
    ZERO_ADJUST_FAIL,        零漂自动校准 失败!,   ZeroDrift Calbr Failed!,

// LCD遥控报告
    YK_OBJECT,               遥控对象,             CtrlObj,
    YK_SOURCE,               遥控来源,             CtrlFrom,
    YK_COMM103,              规约103,              IEC103,
    YK_COMM61850,            规约61850,            IEC61850,
    YK_COMMLCD,              装置本地,             Local HMI,
    YK_COMMDNP,              规约DNP,              DNP,
    YK_COMMMODBUS,           规约Modbus,           Modbus,
    YK_COMM104,              规约104,              IEC104,
    YK_COMM101,              规约101,              IEC101,
    YK_COMMSC,               顺控,                 Sequential Control,
    YK_CONSOLEID,            后台ID,               ConsoleID,
    YK_LOCATION,             控制位置,             CtrlLocat,
    YK_OWS_LOC,              本地监控,             OWS Control,
    YK_GWS_LOC,              远方监控,             GWS Control,
    YK_AUTO_LOC,             自动,                 Auto Control,
    YK_LOCAL_LOC,            间隔层就地控制,       Local Control(Bay Level),
    YK_PROCESS_LOC,          过程层就地控制,       Local Control(Process Level),
    YK_CONDITION,            操作条件,             Condition,
    YK_NONE,                 不检,                 NoCheck,
    YK_SYNC,                 检同期,               SynchroCheck,
    YK_NO_VOL,               检无压,               DeadCheck,
    YK_LOOP,                 检合环,               LoopCheck,
    YK_GROUND,               接地选线,             EF Line Selection,
    YK_AUTO,                 一般遥控,             Auto Check,
    YK_SYNC_NOVOL,           检同期检无压,         Synchro and Dead Check,
    YK_RPT_INTERLOCK,        检联锁,               Interlock,
    YK_INTERLOCK,            检联锁,               InterlockChk,
    YK_NO_INTERLOCK,         不检联锁,             InterlockNotChk,
    YK_COMMAND,              遥控命令,             CtrlCmd,
    YK_OPEN,                 分,                   Open,
    YK_CLOSE,                合,                   Close,
    YK_UPRISE,               升,                   Raise,
    YK_REDUCE,               降,                   Lower,
    YK_STOP,                 停,                   Stop,
    YK_SELECT,               选择,                 Select,
    YK_OPERATE,              执行,                 Execute,
    YK_CAUSE,                操作结果,             Result,

// LCD本地遥控原因
    YK_DESC131,              控制位置无效,         Invalid Control Location,
    YK_DESC132,              目标未选择,           Object Not Selected,
    YK_DESC133,              目标忙,               Object Busy,
    YK_DESC134,              选择超时,             Select Timeout,
    YK_DESC135,              取消超时,             Cancel Timeout,
    YK_DESC136,              执行超时,             Execute Timeout,
    YK_DESC137,              操作类型无效,         Type Invalid,
    YK_DESC138,              当前操作不允许,       The Operation not Allowed,
    YK_DESC141,              装置闭锁,             Device Blocked,
    YK_DESC142,              就地位置,             Local Position,
    YK_DESC143,              已在目标状态,         Assigned State is Already Met,
    YK_DESC144,              装置检修,             Device in Maintenance,
    YK_DESC145,              回采值错误,           Sampling Error,
    YK_DESC146,              遥控对象不存在,       No Control Object,
    YK_DESC147,              命令类型错误,         Error Command Type,
    YK_DESC148,              其他对象遥控正在执行, Other Object under Control Now!,
    YK_DESC149,              正在执行,             Executing...,
    YK_DESC151,              选择校验出错,         Error in Control Check,
    YK_DESC152,              选择对象不存在,       No Control Selection Object,
    YK_DESC153,              正在取消拒绝选择,     Ctrl Sel Forbidden: Cancellation in Progress,
    YK_DESC154,              正在执行拒绝选择,     Ctrl Sel Forbidden: Execution in Progress,
    YK_DESC161,              选择状态失效,         Invalid Control Selection State,
    YK_DESC181,              正在取消拒绝执行,     Ctrl Exec Forbidden:Cancellation in Progress,
    YK_DESC182,              执行分对象出错,       Object Open Error,
    YK_DESC183,              执行合对象出错,       Object Close Error,
    YK_DESC184,              执行合类型不支持,     Rejected: Invalid Close Type!,
    YK_DESC185,              其他点在同期拒绝本点同期合闸, Rejected: Other Object under Sync Close Now!,
    YK_DESC186,              联锁条件不满足,       Interlock Conditions Not Met,
    YK_DESC187,              气压低闭锁,           Low Pressure Blocking,
    YK_DESC188,              接地选线命令错误,     EF Line Selection Cmd Err,
    YK_DESC201,              测量侧电压有压,       Ref Live,
    YK_DESC202,              同期侧电压有压,       Incmg Live,
    YK_DESC203,              两侧均有压,           Both Sides Live,
    YK_DESC204,              两侧均无压,           Both Sides Dead,
    YK_DESC205,              测量侧电压低,         Ref Voltage Low,
    YK_DESC206,              同期侧电压低,         Incmg Voltage Low,
    YK_DESC207,              同期电压压差大,       Voltage Difference High,
    YK_DESC208,              同期电压频差大,       Frequency Difference High,
    YK_DESC209,              同期电压频差加速度大, Rate of Change of Frequency High,
    YK_DESC210,              同期电压角差大,       Angle Difference High,
    YK_DESC211,              测量侧PT断线,         Ref VTS,
    YK_DESC212,              同期频率异常,         Incmg Frequency Abnormal,
    YK_DESC213,              其他同期条件不满足,   Other Sync Condition Not Met,
    YK_DESC214,              任意一侧有压,             Incmg or Ref Live,
    YK_DESC215,              同期侧无压或测量侧有压,   Incmg Dead or Ref Live,
    YK_DESC216,              同期侧有压或测量侧无压,   Incmg Live or Ref Dead,
    YK_DESC217,              两侧均有压或两侧均无压,   Both Sides Live or Dead,
    YK_DESC218,              同期侧PT断线,         Incmg VTS,
    YK_DESC219,              软压板定值错误闭锁,   Link Setting Error Blocking,
    YK_DESC220,              采样值品质无效闭锁,   Invalid Quality Flag Blocking,
    YK_DESC221,              测量侧电压高,         Ref Voltage High,
    YK_DESC222,              同期侧电压高,         Incmg Voltage High,
    YK_DESC240,              档位值越限,           TP OvRange,
    YK_ERR_MSG,              操作失败类型,         Operation Failure Type,
    YK_SUC_MSG,              操作成功,             Operation OK,
    YK_NO_MSG,               结果未返回,           Result Not Returned,
    YK_SUC_SML,              操作成功,             Op Success,
    YK_FIA_SML,              操作失败,             Op Fail,

// LCD本地遥控操作
    SEL_YK_STEP1,            步骤一: 选择遥控对象, Step1: Select Control Object,
    SEL_YK_STEP2,            步骤二: 选择遥控命令, Step2: Select Control Command,
    SEL_YK_STEP3,            步骤三: 选择执行条件, Step3: Select Execution Condition,
    SEL_YK_STEP4,            步骤四: 选择联锁条件, Step4: Select Interlock Condition,
    SEL_YK_STEP5,            步骤五: 选择遥控类型, Step5: Select Control Type,
    SEL_CMD_OPEN,            分(降),               Open(Lower),
    SEL_CMD_CLOSE,           合(升),               Close(Raise),
    SEL_CMD_STOP,            (停),                 (Stop),
    CONFIRM_YK_OPEN,         按<确定>执行遥控分,   Press <ENT> to Open,
    CONFIRM_YK_CLOSE,        按<确定>执行遥控合,   Press <ENT> to Close,

// LCD本地遥调操作
    SEL_YT_STEP1,            选择遥调对象:,        Select Regulation Object:,
    SEL_YT_STEP2,            选择遥调类型:,        Select Regulation Type:,
    SET_YT_VALUE,            设定遥调值:,          New Regulation Value:,

// LCD遥调报告
    YT_OBJECT,               遥调对象,             ReguObj,
    YT_SOURCE,               遥调来源,             ReguFrom,
    YT_VALUE,                遥调值,               ReguValue,
    YT_COMMAND,              遥调命令,             ReguCmd,

// LCD显示双点报告
    BSTRING2_INTERMEDIATE,   中,                   DPS_INT,
    BSTRING2_OFF,            分,                   DPS_OFF,
    BSTRING2_ON,             合,                   DPS_ON,
    BSTRING2_BAD,            误,                   DPS_BAD,

// 光伏发电统计
    SUN_POWER_SUM,           总发电量,             Total Power Production,
    CO2_COST_DOWN,           总二氧化碳减排量,     Total CO2 CER,
    RUN_HOURS_SUM,           总运行小时数,         Total Operation Hours,

// ======================= 板卡类型(长度在20以内) ========================
    BOARD_INFO_TYPE,         类型,                 Type,
    BOARD_INFO_STATUS,       状态,                 Stat,
    BOARD_INFO_CONFIG,       配置,                 Cfg,
    NR1101,                  管理插件,             MON,
    NR1110,                  管理插件,             MON,
    NR4108,                  管理插件,             MON,
    NR1102,                  管理插件,             MON,
    NR1103,                  管理插件,             MON,
    NR1112,                  DSP插件,              DSP,
    NR1113,                  DSP插件,              DSP,
    NR1121,                  DSP插件,              DSP,
    NR1122,                  DSP插件,              DSP,
    NR1124,                  DSP插件,              DSP,
    NR1126,                  DSP插件,              DSP,
    NR1127,                  DSP插件,              DSP,
    NR1129,                  DSP插件,              DSP,
    NR1213,                  通讯插件,             COM,
    NR1224,                  通讯插件,             COM,
    NR1301,                  电源插件,             PWR,
    NR1401,                  IO插件,               IO,
    NR1415,                  IO插件,               IO,
    NR1466,                  直流输入输出板,       DC AI AO,
    NR1502,                  IO插件,               IO,
    NR1521,                  IO插件,               IO,
    NR1524,                  IO插件,               IO,
    NR1536,                  IO插件,               IO,
    NR1210,                  扩展插件,             EXT,

// WEB HMI
    WEB_PROPERTY,            属性,                 Property,
    WEB_UNIT,                单位,                 Unit,
    WEB_FILE_NAME,           录波文件名,           Record File Name,
    WEB_RELAY_ACT,           开入量类型,           BI Source,
    WEB_RECD_CNTR,           开入量防抖,           BI Debouncing Time,
    WEB_PARAMETER_NAME,      参数名,               Parameter Name,
    WEB_PARAMETER_VALUE,     参数值,               Parameter Value,
    WEB_SETTING_NAME,        定值名,               Setting Name,
    WEB_SETTING_VALUE,       定值值,               Setting Value,
    WEB_COMPONENT_NAME,      元件名,               Component Name,
    WEB_COMPONENT_TYPE,      元件类型,             Component Type,
    WEB_RELATION_DESC,       关联元件,             Component Relation,
    WEB_ENABLE,              使能,                 Enable,
    WEB_STEP,                步长,                 Step,

// 权限管理相关
    USERNAME_DESC,           用户,                 Username,
    PASSWORD_DESC,           口令,                 Password,
    INCORRECT_PASSWORD,      口令错误,             Password Error,
    ACCESS_DENIED,           没有权限,             Unauthorized,
    AUTH_MULTI_FAIL,         权限认证失败,         PWD Error or Unauthorized,
    SCREEN_LOCKED,           屏幕锁定,             Screen Locked,

// 虚拟液晶相关
    HIDDEN_VERSION,          版本信息,             Version,
    BOARD_VERSION,           板卡版本信息,         Board Version,
    BACKUP,                  备份还原,             Backup,
    
// 功能快捷键
    FUN_KEY_INFO,            功能快捷键,           Shortcut keys,

//---------------------PRINT--------------------------------------
    PRINT_PRINT_TIME,        打印时间,             Print Time,
    EQUIP_DESCRIPTION,       装置描述,             Device Info,

    SERIAL_NO,               序号,                 No.,
    DESCRIPTION,             描述,                 Description,
    ACTUAL_VALUE,            实际值,               Value,

    EQUIP_NAME,              装置名称,             Device Name,
    EQUIP_TYPE,              装置型号,             Device Type,
    INSTANCE_NAME,           实例名称,             Instance Name,
    
    STATION_NAME,            厂站名称,             Subst Name,
    PRI_DEVICE_NAME,         一次设备名称,         Primary Device Name,
    PRI_DEVICE_NO,           一次设备编号,         Primary Device No.,

    MATRIX_DESCRIPTION,      跳闸矩阵位描述,       OutMap Bit Description,
    MATRIX_BIT,              位,                   Bit,
    MATRIX_SETTING,          矩阵定值,             OutMap Setting,
    LATEST_MODIFY_SETTING,   最近修改定值,         Latest Chgd Settings,
    SETTING_BEFORE_MODIFY,   修改前定值,           Settings Before Modified,
    SETTING_AFTER_MODIFY,    修改后定值,           Settings After Modified,
    DIMENSION,               量纲,                 Dimension,
    ACTIVE_GROUP_SETTING,    运行定值区,           Active Group Settings,
    UNACTIVE_GROUP_SETTING,  非运行定值区,         Inactive Group Settings,

    ITEM_OPERATE_REPORT,     条目动作报告,         Disturb Record Items,
    TRIP_TIME,               动作时间,             Op Time,
    TRIP_ELEMENT,            动作元件,             Op Element,
    TRIP_VALUE,              动作值,               Op Value,

    DRAWOFF_TRIP_REPORT,     整组动作报告,         Disturb Records,
    PICKUP_TIME,             启动时间,             Pickup Time,
    RELATIVE_TIME,           相对时间,             Rel-Time,
    PRETRIG_INFO,            启动前模拟量,         Measurements before FD Pickup,
    TRIP_PHASE,              动作相别,             Op Phase,

    SELFSUPERV_INIT_STATE,   启动时自检状态,       Superv State when FD Pickup,
    BINCHG_INIT_STATE,       启动时开关量状态,     BI State when FD Pickup,
    SELFSUPERV_CHANGE_STATE, 启动后自检变化信息,   Superv State after FD Pickup,
    BINCHG_CHANGE_STATE_STR, 启动后变位变化信息,   BI State after FD Pickup,

    WAVE_ANALOG_GROUP_SCALE, 标度组,               Scale,
    WAVE_ANALOG_CHANNEL,     通道,                 Channel,
    WAVE_PER_UNIT,           /格,                  /Seg,
    WAVE_TIME_SCALE,         瞬时值录波时间标度T,  DFR Time Scale T,

    TRIP_PULSE_DESCRIPTION,  跳闸位说明,           Binary Channel Description,
    WAVE_ANALOG_DISCRIPTION, 模拟通道说明,         Analog Channel Description,
    NO_SPECIFIC_WAVE_PAGE,   该组无波形,           No Specific Wave Page,

    SELFSUPERV_REPORT,       自检报告,             Superv Events,
    SELFSUPERV_ALARM_TIME,   报警时间,             Superv Event Time,
    SELFSUPERV_ALARM_ELEMENT,报警元件,             Superv Event Element,
    SELFSUPERV_ALARM_PHASE,  报警相别,             Phase,

    BINCHG_REPORT,           变位报告,             IO Events,
    BINCHG_TIME,             变位时间,             IO Event Time,
    BINCHG_ELEMENT,          变位内容,             IO Event Element,

    CONTROL_REPORT,          装置日志,             Device_Logs,
    CONTROL_TIME,            报告时间,             Device Log Time,
    CONTROL_ELEMENT,         运行内容,             Device Log Element,

    CHANA_SUPERV_REPORT,     通道1自检报告,        Prot Ch1 Superv Records,
    CHANB_SUPERV_REPORT,     通道2自检报告,        Prot Ch2 Superv Records,
    CHANC_SUPERV_REPORT,     通道3自检报告,        Prot Ch3 Superv Records,
    CHAND_SUPERV_REPORT,     通道4自检报告,        Prot Ch4 Superv Records,
    CHAN_SUPERV_TIME,        通道自检时间,         Ch Superv Time,
    CHAN_SUPERV_CONTENT,     通道自检内容,         Ch Superv Content,

    CHANA_STATISTIC_REPORT,  通道1统计报告,        Prot Ch1 Statistics,
    CHANB_STATISTIC_REPORT,  通道2统计报告,        Prot Ch2 Statistics,
    CHANC_STATISTIC_REPORT,  通道3统计报告,        Prot Ch3 Statistics,
    CHAND_STATISTIC_REPORT,  通道4统计报告,        Prot Ch4 Statistics,
    CHAN_STATISTIC_TIME,     通道统计时间,         Ch Statistics Time,
    CHAN_STATISTIC_ELEMENT,  通道统计元件,         Ch Statistics Elmt,
    CHAN_STATISTIC_DIFF_STR, 差,                   Diff,

    PRO103_FUN_INF,          103规约点表,          Protocol 103 Inf,
    PRO103_MAIN_FUN,         103规约主功能号,      Protocol 103 Main Function Type,
    PRO103_ACC,              103规约通道表,        Protocol 103 ACC Table,

    PRINT_TABLE_ERR_INF,     表格打印出错,         Print Table Error,
    
    LOAD_REC_REPORT,         负荷记录,             Load Record,
    DATA_LOG_REPORT,         数据断面记录,         Data Record,
    STATISTIC_ELEMENT,       统计元件,             Statistics Elmt,
    STATISTIC_TIME,          统计时间,             Statistics Time,

    EWD_REPORT,              带值报告,            Advanced Records ,
    EWD_ALARM_TIME,          带值报告时间,         Advanced Records Time,
    EWD_ALARM_ELEMENT,       带值报告元件,         Advanced Records Element,
//---------------------IEC103---------------------------------------------
    IEC103_EQUIP_DESC,       装置描述,             Equip_Description,
